year,age,sex,enrolment_primary
1984,10 YRS,MF,46582
1984,10 YRS,F,22440
1984,11 YRS,MF,47525
1984,11 YRS,F,22834
1984,12 YRS,MF,14694
1984,12 YRS,F,6028
1984,13 YRS,MF,10256
1984,13 YRS,F,3926
1984,14 YRS & OVER,MF,5323
1984,14 YRS & OVER,F,1569
1984,7 YRS,MF,43152
1984,7 YRS,F,20675
1984,8 YRS,MF,39890
1984,8 YRS,F,19202
1984,9 YRS,MF,42652
1984,9 YRS,F,20391
1984,UNDER 7 YRS,MF,38420
1984,UNDER 7 YRS,F,18437
1985,10 YRS,MF,42719
1985,10 YRS,F,20395
1985,11 YRS,MF,46549
1985,11 YRS,F,22385
1985,12 YRS,MF,14751
1985,12 YRS,F,6072
1985,13 YRS,MF,10047
1985,13 YRS,F,3794
1985,14 YRS & OVER,MF,2946
1985,14 YRS & OVER,F,938
1985,7 YRS,MF,38603
1985,7 YRS,F,18508
1985,8 YRS,MF,43201
1985,8 YRS,F,20676
1985,9 YRS,MF,39867
1985,9 YRS,F,19177
1985,UNDER 7 YRS,MF,39192
1985,UNDER 7 YRS,F,18961
1986,10 YRS,MF,39777
1986,10 YRS,F,19132
1986,11 YRS,MF,42565
1986,11 YRS,F,20305
1986,12 YRS,MF,13435
1986,12 YRS,F,5768
1986,13 YRS,MF,10332
1986,13 YRS,F,4008
1986,14 YRS & OVER,MF,1763
1986,14 YRS & OVER,F,564
1986,7 YRS,MF,39243
1986,7 YRS,F,18987
1986,8 YRS,MF,38510
1986,8 YRS,F,18449
1986,9 YRS,MF,43039
1986,9 YRS,F,20603
1986,UNDER 7 YRS,MF,40004
1986,UNDER 7 YRS,F,19130
1987,10 YRS,MF,42968
1987,10 YRS,F,20555
1987,11 YRS,MF,39611
1987,11 YRS,F,19071
1987,12 YRS,MF,11586
1987,12 YRS,F,4788
1987,13 YRS,MF,8896
1987,13 YRS,F,3580
1987,14 YRS & OVER,MF,696
1987,14 YRS & OVER,F,235
1987,7 YRS,MF,40083
1987,7 YRS,F,19157
1987,8 YRS,MF,39148
1987,8 YRS,F,18933
1987,9 YRS,MF,38372
1987,9 YRS,F,18378
1987,UNDER 7 YRS,MF,40039
1987,UNDER 7 YRS,F,19219
1988,10 YRS,MF,38301
1988,10 YRS,F,18330
1988,11 YRS,MF,42828
1988,11 YRS,F,20464
1988,12 YRS,MF,10112
1988,12 YRS,F,4317
1988,13 YRS,MF,7256
1988,13 YRS,F,2732
1988,14 YRS & OVER,MF,475
1988,14 YRS & OVER,F,172
1988,7 YRS,MF,40146
1988,7 YRS,F,19244
1988,8 YRS,MF,40048
1988,8 YRS,F,19142
1988,9 YRS,MF,39052
1988,9 YRS,F,18878
1988,UNDER 7 YRS,MF,40899
1988,UNDER 7 YRS,F,19629
1989,10 YRS,MF,39065
1989,10 YRS,F,18866
1989,11 YRS,MF,38205
1989,11 YRS,F,18251
1989,12 YRS,MF,11305
1989,12 YRS,F,4837
1989,13 YRS,MF,6436
1989,13 YRS,F,2532
1989,14 YRS & OVER,MF,364
1989,14 YRS & OVER,F,132
1989,7 YRS,MF,41025
1989,7 YRS,F,19685
1989,8 YRS,MF,40138
1989,8 YRS,F,19241
1989,9 YRS,MF,40002
1989,9 YRS,F,19115
1989,UNDER 7 YRS,MF,41150
1989,UNDER 7 YRS,F,19602
1990,10 YRS,MF,40058
1990,10 YRS,F,19117
1990,11 YRS,MF,39058
1990,11 YRS,F,18858
1990,12 YRS,MF,9942
1990,12 YRS,F,4160
1990,13 YRS,MF,6714
1990,13 YRS,F,2594
1990,14 YRS & OVER,MF,291
1990,14 YRS & OVER,F,97
1990,7 YRS,MF,41322
1990,7 YRS,F,19685
1990,8 YRS,MF,41075
1990,8 YRS,F,19701
1990,9 YRS,MF,40250
1990,9 YRS,F,19297
1990,UNDER 7 YRS,MF,39047
1990,UNDER 7 YRS,F,18675
1991,10 YRS,MF,40375
1991,10 YRS,F,19346
1991,11 YRS,MF,40097
1991,11 YRS,F,19129
1991,12 YRS,MF,10665
1991,12 YRS,F,4683
1991,13 YRS,MF,6530
1991,13 YRS,F,2518
1991,14 YRS & OVER,MF,280
1991,14 YRS & OVER,F,91
1991,7 YRS,MF,39335
1991,7 YRS,F,18797
1991,8 YRS,MF,41482
1991,8 YRS,F,19769
1991,9 YRS,MF,41218
1991,9 YRS,F,19777
1991,UNDER 7 YRS,MF,40127
1991,UNDER 7 YRS,F,19099
1992,10 YRS,MF,41358
1992,10 YRS,F,19832
1992,11 YRS,MF,40437
1992,11 YRS,F,19365
1992,12 YRS,MF,10895
1992,12 YRS,F,4783
1992,13 YRS,MF,6766
1992,13 YRS,F,2780
1992,14 YRS & OVER,MF,262
1992,14 YRS & OVER,F,95
1992,7 YRS,MF,40410
1992,7 YRS,F,19227
1992,8 YRS,MF,39505
1992,8 YRS,F,18885
1992,9 YRS,MF,41593
1992,9 YRS,F,19841
1992,UNDER 7 YRS,MF,41239
1992,UNDER 7 YRS,F,19766
1993,10 YRS,MF,41730
1993,10 YRS,F,19907
1993,11 YRS,MF,41445
1993,11 YRS,F,19849
1993,12 YRS,MF,11183
1993,12 YRS,F,4687
1993,13 YRS,MF,7397
1993,13 YRS,F,3027
1993,14 YRS & OVER,MF,293
1993,14 YRS & OVER,F,93
1993,7 YRS,MF,41543
1993,7 YRS,F,19930
1993,8 YRS,MF,40553
1993,8 YRS,F,19288
1993,9 YRS,MF,39675
1993,9 YRS,F,18965
1993,UNDER 7 YRS,MF,37583
1993,UNDER 7 YRS,F,17973
1994,10 YRS,MF,39895
1994,10 YRS,F,19061
1994,11 YRS,MF,41880
1994,11 YRS,F,19977
1994,12 YRS,MF,3628
1994,12 YRS,F,1409
1994,13 YRS,MF,1821
1994,13 YRS,F,640
1994,14 YRS & OVER,MF,139
1994,14 YRS & OVER,F,42
1994,7 YRS,MF,37926
1994,7 YRS,F,18122
1994,8 YRS,MF,41719
1994,8 YRS,F,20002
1994,9 YRS,MF,40775
1994,9 YRS,F,19389
1994,UNDER 7 YRS,MF,43222
1994,UNDER 7 YRS,F,20834
1995,10 YRS,MF,40970
1995,10 YRS,F,19472
1995,11 YRS,MF,40012
1995,11 YRS,F,19123
1995,12 YRS,MF,2887
1995,12 YRS,F,1170
1995,13 YRS,MF,1418
1995,13 YRS,F,501
1995,14 YRS & OVER,MF,149
1995,14 YRS & OVER,F,55
1995,7 YRS,MF,43467
1995,7 YRS,F,20936
1995,8 YRS,MF,38083
1995,8 YRS,F,18209
1995,9 YRS,MF,41912
1995,9 YRS,F,20111
1995,UNDER 7 YRS,MF,52655
1995,UNDER 7 YRS,F,25392
1996,10 YRS,MF,42064
1996,10 YRS,F,20168
1996,11 YRS,MF,41020
1996,11 YRS,F,19479
1996,12 YRS,MF,2589
1996,12 YRS,F,996
1996,13 YRS,MF,1154
1996,13 YRS,F,398
1996,14 YRS & OVER,MF,166
1996,14 YRS & OVER,F,54
1996,7 YRS,MF,53037
1996,7 YRS,F,25581
1996,8 YRS,MF,43686
1996,8 YRS,F,21056
1996,9 YRS,MF,38234
1996,9 YRS,F,18276
1996,UNDER 7 YRS,MF,47482
1996,UNDER 7 YRS,F,22781
1997,10 YRS,MF,38458
1997,10 YRS,F,18359
1997,11 YRS,MF,42151
1997,11 YRS,F,20193
1997,12 YRS,MF,2497
1997,12 YRS,F,1036
1997,13 YRS,MF,1060
1997,13 YRS,F,400
1997,14 YRS & OVER,MF,213
1997,14 YRS & OVER,F,78
1997,7 YRS,MF,47886
1997,7 YRS,F,22966
1997,8 YRS,MF,53294
1997,8 YRS,F,25685
1997,9 YRS,MF,43813
1997,9 YRS,F,21099
1997,UNDER 7 YRS,MF,50942
1997,UNDER 7 YRS,F,24578
1998,10 YRS,MF,43913
1998,10 YRS,F,21166
1998,11 YRS,MF,38393
1998,11 YRS,F,18340
1998,12 YRS,MF,2487
1998,12 YRS,F,1041
1998,13 YRS,MF,1156
1998,13 YRS,F,441
1998,14 YRS & OVER,MF,326
1998,14 YRS & OVER,F,126
1998,7 YRS,MF,51379
1998,7 YRS,F,24781
1998,8 YRS,MF,48096
1998,8 YRS,F,23039
1998,9 YRS,MF,53414
1998,9 YRS,F,25767
1998,UNDER 7 YRS,MF,49064
1998,UNDER 7 YRS,F,23817
1999,10 YRS,MF,53655
1999,10 YRS,F,25914
1999,11 YRS,MF,43948
1999,11 YRS,F,21198
1999,12 YRS,MF,2404
1999,12 YRS,F,981
1999,13 YRS,MF,1209
1999,13 YRS,F,461
1999,14 YRS & OVER,MF,349
1999,14 YRS & OVER,F,135
1999,7 YRS,MF,49388
1999,7 YRS,F,23940
1999,8 YRS,MF,51607
1999,8 YRS,F,24895
1999,9 YRS,MF,48285
1999,9 YRS,F,23172
1999,UNDER 7 YRS,MF,49114
1999,UNDER 7 YRS,F,23823
2000,10 YRS,MF,48297
2000,10 YRS,F,23181
2000,11 YRS,MF,53632
2000,11 YRS,F,25911
2000,12 YRS,MF,2415
2000,12 YRS,F,1002
2000,13 YRS,MF,1034
2000,13 YRS,F,398
2000,14 YRS & OVER,MF,349
2000,14 YRS & OVER,F,158
2000,7 YRS,MF,49413
2000,7 YRS,F,23946
2000,8 YRS,MF,49441
2000,8 YRS,F,23978
2000,9 YRS,MF,51531
2000,9 YRS,F,24876
2000,UNDER 7 YRS,MF,49593
2000,UNDER 7 YRS,F,23957
2001,10 YRS,MF,51589
2001,10 YRS,F,24880
2001,11 YRS,MF,48265
2001,11 YRS,F,23148
2001,12 YRS,MF,3175
2001,12 YRS,F,1367
2001,13 YRS,MF,1247
2001,13 YRS,F,494
2001,14 YRS & OVER,MF,343
2001,14 YRS & OVER,F,151
2001,7 YRS,MF,49928
2001,7 YRS,F,24143
2001,8 YRS,MF,49442
2001,8 YRS,F,23987
2001,9 YRS,MF,49505
2001,9 YRS,F,24045
2001,UNDER 7 YRS,MF,49072
2001,UNDER 7 YRS,F,23743
2002,10 YRS,MF,49528
2002,10 YRS,F,24041
2002,11 YRS,MF,51590
2002,11 YRS,F,24874
2002,12 YRS,MF,2580
2002,12 YRS,F,1110
2002,13 YRS,MF,1299
2002,13 YRS,F,533
2002,14 YRS & OVER,MF,384
2002,14 YRS & OVER,F,162
2002,7 YRS,MF,49495
2002,7 YRS,F,23965
2002,8 YRS,MF,49961
2002,8 YRS,F,24164
2002,9 YRS,MF,49530
2002,9 YRS,F,24041
2002,UNDER 7 YRS,MF,48134
2002,UNDER 7 YRS,F,23136
2003,10 YRS,MF,49613
2003,10 YRS,F,24098
2003,11 YRS,MF,49526
2003,11 YRS,F,24020
2003,12 YRS,MF,2874
2003,12 YRS,F,1241
2003,13 YRS,MF,1328
2003,13 YRS,F,538
2003,14 YRS & OVER,MF,420
2003,14 YRS & OVER,F,194
2003,7 YRS,MF,48456
2003,7 YRS,F,23268
2003,8 YRS,MF,49573
2003,8 YRS,F,24004
2003,9 YRS,MF,50057
2003,9 YRS,F,24211
2003,UNDER 7 YRS,MF,48092
2003,UNDER 7 YRS,F,23132
2004,10 YRS,MF,49983
2004,10 YRS,F,24213
2004,11 YRS,MF,49585
2004,11 YRS,F,24064
2004,12 YRS,MF,2356
2004,12 YRS,F,958
2004,13 YRS,MF,1275
2004,13 YRS,F,547
2004,14 YRS & OVER,MF,458
2004,14 YRS & OVER,F,203
2004,7 YRS,MF,48327
2004,7 YRS,F,23243
2004,8 YRS,MF,48494
2004,8 YRS,F,23290
2004,9 YRS,MF,49574
2004,9 YRS,F,24045
2004,UNDER 7 YRS,MF,46367
2004,UNDER 7 YRS,F,22373
2005,10 YRS,MF,49753
2005,10 YRS,F,24129
2005,11 YRS,MF,50044
2005,11 YRS,F,24242
2005,12 YRS,MF,2450
2005,12 YRS,F,1059
2005,13 YRS,MF,1124
2005,13 YRS,F,450
2005,14 YRS & OVER,MF,433
2005,14 YRS & OVER,F,194
2005,7 YRS,MF,46837
2005,7 YRS,F,22569
2005,8 YRS,MF,48471
2005,8 YRS,F,23321
2005,9 YRS,MF,48618
2005,9 YRS,F,23369
2005,UNDER 7 YRS,MF,42531
2005,UNDER 7 YRS,F,20594
2006,10 YRS,MF,48902
2006,10 YRS,F,23492
2006,11 YRS,MF,49939
2006,11 YRS,F,24237
2006,12 YRS,MF,2395
2006,12 YRS,F,1034
2006,13 YRS,MF,1229
2006,13 YRS,F,527
2006,14 YRS & OVER,MF,447
2006,14 YRS & OVER,F,171
2006,7 YRS,MF,43124
2006,7 YRS,F,20826
2006,8 YRS,MF,47132
2006,8 YRS,F,22725
2006,9 YRS,MF,48703
2006,9 YRS,F,23458
2006,UNDER 7 YRS,MF,42729
2006,UNDER 7 YRS,F,20492
2007,10 YRS,MF,49257
2007,10 YRS,F,23718
2007,11 YRS,MF,49276
2007,11 YRS,F,23662
2007,12 YRS,MF,2966
2007,12 YRS,F,1389
2007,13 YRS,MF,1058
2007,13 YRS,F,449
2007,14 YRS & OVER,MF,482
2007,14 YRS & OVER,F,188
2007,7 YRS,MF,43690
2007,7 YRS,F,20925
2007,8 YRS,MF,43762
2007,8 YRS,F,21125
2007,9 YRS,MF,47720
2007,9 YRS,F,23016
2007,UNDER 7 YRS,MF,46837
2007,UNDER 7 YRS,F,22537
2008,10 YRS,MF,48006
2008,10 YRS,F,23159
2008,11 YRS,MF,49360
2008,11 YRS,F,23775
2008,12 YRS,MF,2854
2008,12 YRS,F,1290
2008,13 YRS,MF,1248
2008,13 YRS,F,599
2008,14 YRS & OVER,MF,422
2008,14 YRS & OVER,F,171
2008,7 YRS,MF,47538
2008,7 YRS,F,22814
2008,8 YRS,MF,44138
2008,8 YRS,F,21113
2008,9 YRS,MF,44158
2008,9 YRS,F,21345
2008,UNDER 7 YRS,MF,41548
2008,UNDER 7 YRS,F,20140
2009,10 YRS,MF,44189
2009,10 YRS,F,21390
2009,11 YRS,MF,47917
2009,11 YRS,F,23121
2009,12 YRS,MF,3138
2009,12 YRS,F,1457
2009,13 YRS,MF,1041
2009,13 YRS,F,486
2009,14 YRS & OVER,MF,425
2009,14 YRS & OVER,F,192
2009,7 YRS,MF,42147
2009,7 YRS,F,20434
2009,8 YRS,MF,47851
2009,8 YRS,F,22956
2009,9 YRS,MF,44274
2009,9 YRS,F,21178
2009,UNDER 7 YRS,MF,41272
2009,UNDER 7 YRS,F,20112
2010,10 YRS,MF,44376
2010,10 YRS,F,21239
2010,11 YRS,MF,44094
2010,11 YRS,F,21356
2010,12 YRS,MF,3204
2010,12 YRS,F,1481
2010,13 YRS,MF,1062
2010,13 YRS,F,502
2010,14 YRS & OVER,MF,366
2010,14 YRS & OVER,F,164
2010,7 YRS,MF,41785
2010,7 YRS,F,20346
2010,8 YRS,MF,42395
2010,8 YRS,F,20549
2010,9 YRS,MF,47990
2010,9 YRS,F,23039
2010,UNDER 7 YRS,MF,38634
2010,UNDER 7 YRS,F,18861
2011,10 YRS,MF,48045
2011,10 YRS,F,23063
2011,11 YRS,MF,44211
2011,11 YRS,F,21163
2011,12 YRS,MF,2917
2011,12 YRS,F,1340
2011,13 YRS,MF,1021
2011,13 YRS,F,481
2011,14 YRS & OVER,MF,242
2011,14 YRS & OVER,F,117
2011,7 YRS,MF,38944
2011,7 YRS,F,18992
2011,8 YRS,MF,41833
2011,8 YRS,F,20366
2011,9 YRS,MF,42440
2011,9 YRS,F,20571
2011,UNDER 7 YRS,MF,38640
2011,UNDER 7 YRS,F,18718
2012,10 YRS,MF,42436
2012,10 YRS,F,20567
2012,11 YRS,MF,47889
2012,11 YRS,F,22999
2012,12 YRS,MF,2620
2012,12 YRS,F,1144
2012,13 YRS,MF,781
2012,13 YRS,F,339
2012,14 YRS & OVER,MF,161
2012,14 YRS & OVER,F,61
2012,7 YRS,MF,38975
2012,7 YRS,F,18862
2012,8 YRS,MF,39020
2012,8 YRS,F,19036
2012,9 YRS,MF,41901
2012,9 YRS,F,20410
2012,UNDER 7 YRS,MF,38952
2012,UNDER 7 YRS,F,19036
2013,10 YRS,MF,41743
2013,10 YRS,F,20339
2013,11 YRS,MF,42167
2013,11 YRS,F,20442
2013,12 YRS,MF,2601
2013,12 YRS,F,1149
2013,13 YRS,MF,741
2013,13 YRS,F,315
2013,14 YRS & OVER,MF,119
2013,14 YRS & OVER,F,41
2013,7 YRS,MF,39157
2013,7 YRS,F,19115
2013,8 YRS,MF,38968
2013,8 YRS,F,18874
2013,9 YRS,MF,38973
2013,9 YRS,F,19023
2013,UNDER 7 YRS,MF,39576
2013,UNDER 7 YRS,F,19324
2014,10 YRS,MF,38840
2014,10 YRS,F,18956
2014,11 YRS,MF,41505
2014,11 YRS,F,20216
2014,12 YRS,MF,2217
2014,12 YRS,F,1009
2014,13 YRS,MF,654
2014,13 YRS,F,296
2014,14 YRS & OVER,MF,60
2014,14 YRS & OVER,F,24
2014,7 YRS,MF,39879
2014,7 YRS,F,19433
2014,8 YRS,MF,39131
2014,8 YRS,F,19088
2014,9 YRS,MF,38953
2014,9 YRS,F,18904
2014,UNDER 7 YRS,MF,40444
2014,UNDER 7 YRS,F,19777
2015,10 YRS,MF,38931
2015,10 YRS,F,18904
2015,11 YRS,MF,38632
2015,11 YRS,F,18846
2015,12 YRS,MF,1928
2015,12 YRS,F,860
2015,13 YRS,MF,466
2015,13 YRS,F,207
2015,14 YRS & OVER,MF,41
2015,14 YRS & OVER,F,13
2015,7 YRS,MF,40538
2015,7 YRS,F,19811
2015,8 YRS,MF,39765
2015,8 YRS,F,19381
2015,9 YRS,MF,39081
2015,9 YRS,F,19088
2015,UNDER 7 YRS,MF,39720
2015,UNDER 7 YRS,F,19498
2016,10 YRS,MF,38949
2016,10 YRS,F,19000
2016,11 YRS,MF,38710
2016,11 YRS,F,18796
2016,12 YRS,MF,1453
2016,12 YRS,F,653
2016,13 YRS,MF,351
2016,13 YRS,F,160
2016,14 YRS & OVER,MF,41
2016,14 YRS & OVER,F,22
2016,7 YRS,MF,40013
2016,7 YRS,F,19584
2016,8 YRS,MF,40487
2016,8 YRS,F,19766
2016,9 YRS,MF,39655
2016,9 YRS,F,19342
2016,UNDER 7 YRS,MF,38481
2016,UNDER 7 YRS,F,18835
